date,description,amount,polarity,balance,bank,statement_date,statement_month,source_file,category,merchant_key,confidence,rationale,classified_by,year,month,month_label
2024-01-08,MORNING BITES CAFE SINGAPORE SG,6.25,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Dining,MORNING BITES CAFE,0.95,"The merchant name suggests a cafe that likely serves food or drinks, which fits the dining category.",llm,2024,1,2024-01
2024-01-08,HARVEST FOODS SINGAPORE SG,73.0,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Groceries,HARVEST FOODS,0.95,"Harvest Foods is a supermarket chain, fitting the description of a grocery store.",llm,2024,1,2024-01
2024-01-09,GREEN BASKET MART SINGAPORE SG,56.38,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Groceries,GREEN BASKET MART,0.95,The name 'GREEN BASKET MART' suggests it is a supermarket or grocery store.,llm,2024,1,2024-01
2024-01-10,SUNNY CAFE SINGAPORE SG,19.81,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Dining,SUNNY CAFE,1.0,"SUNNY CAFE is a cafe, which fits under the Dining category.",llm,2024,1,2024-01
2024-01-10,GAME REALM SINGAPORE SG,12.94,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Shopping,GAME REALM,1.0,GAME REALM is a retailer known for video games and related merchandise.,llm,2024,1,2024-01
2024-01-10,COZY STAY HOTEL SINGAPORE SG,198.68,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Travel,COZY STAY HOTEL,1.0,"The merchant name 'COZY STAY HOTEL' indicates a hotel stay, which falls under travel expenses.",llm,2024,1,2024-01
2024-01-12,GLOBAL GRUB SINGAPORE SG,8.1,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Dining,GLOBAL GRUB,1.0,"Global Grub is a restaurant chain, fitting under the Dining category.",llm,2024,1,2024-01
2024-01-14,BOOK NOOK SINGAPORE SG,117.22,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Shopping,BOOK NOOK,1.0,Book stores fall under retail shopping.,llm,2024,1,2024-01
2024-01-15,PARK & GO SINGAPORE SG,23.58,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Transport,PARK & GO,1.0,"This likely refers to parking services, which fit under the transport category.",llm,2024,1,2024-01
2024-01-15,SPEEDY DRIVE SHOP SINGAPORE SG,66.24,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Shopping,SPEEDY DRIVE SHOP,0.9,The name suggests a retail store focused on quick or convenience items.,llm,2024,1,2024-01
2024-01-15,GAME REALM SINGAPORE SG,19.87,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Shopping,GAME REALM,1.0,GAME REALM is a retailer known for video games and related merchandise.,llm,2024,1,2024-01
2024-01-17,VITAL DRUGS SINGAPORE SG,67.27,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Health,VITAL DRUGS,1.0,"VITAL DRUGS is a pharmacy, which falls under the Health category.",llm,2024,1,2024-01
2024-01-18,SUNNY CAFE SINGAPORE SG,11.18,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Dining,SUNNY CAFE,1.0,"SUNNY CAFE is a cafe, which fits under the Dining category.",llm,2024,1,2024-01
2024-01-18,URBAN EATS SINGAPORE SG,7.54,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Dining,URBAN EATS,0.9,"URBAN EATS is a food delivery service, which falls under the Dining category.",llm,2024,1,2024-01
2024-01-19,MORNING BITES CAFE SINGAPORE SG,25.86,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Dining,MORNING BITES CAFE,0.95,"The merchant name suggests a cafe that likely serves food or drinks, which fits the dining category.",llm,2024,1,2024-01
2024-01-19,URBAN EATS SINGAPORE SG,15.78,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Dining,URBAN EATS,0.9,"URBAN EATS is a food delivery service, which falls under the Dining category.",llm,2024,1,2024-01
2024-01-19,TUNE STREAM SINGAPORE SG,25.84,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Entertainment,TUNE STREAM,1.0,This likely refers to a music or podcast streaming service.,llm,2024,1,2024-01
2024-01-19,TELCO MOBILE SINGAPORE SG,51.89,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Utilities & Bills,TELCO MOBILE,0.95,This likely refers to mobile phone bills or services.,llm,2024,1,2024-01
2024-01-20,SUNNY CAFE SINGAPORE SG,5.21,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Dining,SUNNY CAFE,1.0,"SUNNY CAFE is a cafe, which fits under the Dining category.",llm,2024,1,2024-01
2024-01-20,BOOK NOOK SINGAPORE SG,92.62,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Shopping,BOOK NOOK,1.0,Book stores fall under retail shopping.,llm,2024,1,2024-01
2024-01-23,CINEMA PLUS SINGAPORE SG,23.09,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Entertainment,CINEMA PLUS,1.0,"Cinema Plus is a movie theater, which falls under entertainment spending.",llm,2024,1,2024-01
2024-01-26,NOODLE HOUSE SINGAPORE SG,36.42,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Dining,NOODLE HOUSE,1.0,Noodle house is a type of restaurant serving noodle-based dishes.,llm,2024,1,2024-01
2024-01-27,DRIVE-THRU DELIGHTS SINGAPORE SG,42.13,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Dining,DRIVE THRU DELIGHTS,0.95,"Drive-thru delights typically refer to quick-service restaurants or food vendors, which fall under the dining category.",llm,2024,1,2024-01
2024-01-27,SKYWAY AIR SINGAPORE SG,178.12,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Travel,SKYWAY AIR,1.0,This likely refers to a flight or travel-related expense.,llm,2024,1,2024-01
2024-01-28,MORNING BITES CAFE SINGAPORE SG,22.83,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Dining,MORNING BITES CAFE,0.95,"The merchant name suggests a cafe that likely serves food or drinks, which fits the dining category.",llm,2024,1,2024-01
2024-01-29,NET CONNECT SINGAPORE SG,55.43,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Utilities & Bills,NET CONNECT,0.9,This likely refers to internet or phone services.,llm,2024,1,2024-01
2024-01-29,GREEN BASKET MART SINGAPORE SG,49.86,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Groceries,GREEN BASKET MART,0.95,The name 'GREEN BASKET MART' suggests it is a supermarket or grocery store.,llm,2024,1,2024-01
2024-01-30,ARCTIC MARKET SINGAPORE SG,48.28,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Groceries,ARCTIC MARKET,0.95,The name 'ARCTIC MARKET' suggests it is a supermarket or grocery store.,llm,2024,1,2024-01
2024-01-30,AQUA UTILITIES SINGAPORE SG,81.16,,0.0,generic,2024-01-31,2024-01,synthetic_metrobank_2024-01.pdf,Utilities & Bills,AQUA UTILITIES,1.0,"This merchant name suggests it is related to water services, which falls under utilities and bills.",llm,2024,1,2024-01
2024-01-31,URBAN EATS SINGAPORE SG,12.68,,0.0,generic,2024-01-31,2024-01,synthetic_cardco_2024-01.pdf,Dining,URBAN EATS,0.9,"URBAN EATS is a food delivery service, which falls under the Dining category.",llm,2024,1,2024-01
2024-02-01,GOLDEN TOAST SINGAPORE SG,40.71,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Dining,GOLDEN TOAST,0.9,"Golden Toast is likely a breakfast or brunch spot, fitting under the dining category.",llm,2024,2,2024-02
2024-02-01,CITY METRO CARD SINGAPORE SG,15.66,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Transport,CITY METRO CARD,1.0,Metro cards are typically used for public transportation.,llm,2024,2,2024-02
2024-02-02,URBAN EATS SINGAPORE SG,32.71,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Dining,URBAN EATS,0.9,"URBAN EATS is a food delivery service, which falls under the Dining category.",llm,2024,2,2024-02
2024-02-02,RIDEFLOW SINGAPORE SG,9.83,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Transport,RIDEFLOW,1.0,"RIDEFLOW is a rideshare service, which fits under the Transport category.",llm,2024,2,2024-02
2024-02-03,DAILY PANTRY SINGAPORE SG,74.49,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Groceries,DAILY PANTRY,1.0,DAILY PANTRY is a well-known grocery store chain.,llm,2024,2,2024-02
2024-02-03,HOME STYLE SINGAPORE SG,41.34,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Groceries,HOME STYLE,0.9,The merchant name 'HOME STYLE' suggests it is a grocery store or supermarket.,llm,2024,2,2024-02
2024-02-03,SPEEDY DRIVE SHOP SINGAPORE SG,60.32,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Shopping,SPEEDY DRIVE SHOP,0.9,The name suggests a retail store focused on quick or convenience items.,llm,2024,2,2024-02
2024-02-03,AQUA UTILITIES SINGAPORE SG,58.15,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Utilities & Bills,AQUA UTILITIES,1.0,"This merchant name suggests it is related to water services, which falls under utilities and bills.",llm,2024,2,2024-02
2024-02-05,CITY METRO CARD SINGAPORE SG,28.71,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Transport,CITY METRO CARD,1.0,Metro cards are typically used for public transportation.,llm,2024,2,2024-02
2024-02-05,CINEMA PLUS SINGAPORE SG,10.26,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Entertainment,CINEMA PLUS,1.0,"Cinema Plus is a movie theater, which falls under entertainment spending.",llm,2024,2,2024-02
2024-02-06,GOLDEN TOAST SINGAPORE SG,28.11,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Dining,GOLDEN TOAST,0.9,"Golden Toast is likely a breakfast or brunch spot, fitting under the dining category.",llm,2024,2,2024-02
2024-02-06,RENT-A-RIDE SINGAPORE SG,179.96,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Transport,RENT A RIDE,1.0,"This likely refers to a rideshare or car rental service, which fits under transport expenses.",llm,2024,2,2024-02
2024-02-07,ARCTIC MARKET SINGAPORE SG,68.8,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Groceries,ARCTIC MARKET,0.95,The name 'ARCTIC MARKET' suggests it is a supermarket or grocery store.,llm,2024,2,2024-02
2024-02-08,BRIGHT ENERGY SINGAPORE SG,85.25,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Health,BRIGHT ENERGY,0.8,"BRIGHT ENERGY is likely a health and wellness brand, fitting under the Health category.",llm,2024,2,2024-02
2024-02-08,DAILY PANTRY SINGAPORE SG,74.91,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Groceries,DAILY PANTRY,1.0,DAILY PANTRY is a well-known grocery store chain.,llm,2024,2,2024-02
2024-02-09,BOOK NOOK SINGAPORE SG,113.55,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Shopping,BOOK NOOK,1.0,Book stores fall under retail shopping.,llm,2024,2,2024-02
2024-02-09,SKYWAY AIR SINGAPORE SG,127.3,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Travel,SKYWAY AIR,1.0,This likely refers to a flight or travel-related expense.,llm,2024,2,2024-02
2024-02-09,FRESH FIELDS GROCER SINGAPORE SG,85.68,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Groceries,FRESH FIELDS GROCER,1.0,The merchant name 'FRESH FIELDS GROCER' indicates it is a grocery store.,llm,2024,2,2024-02
2024-02-10,NOODLE HOUSE SINGAPORE SG,32.15,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Dining,NOODLE HOUSE,1.0,Noodle house is a type of restaurant serving noodle-based dishes.,llm,2024,2,2024-02
2024-02-11,GREEN BASKET MART SINGAPORE SG,64.13,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Groceries,GREEN BASKET MART,0.95,The name 'GREEN BASKET MART' suggests it is a supermarket or grocery store.,llm,2024,2,2024-02
2024-02-11,DRIVE-THRU DELIGHTS SINGAPORE SG,23.05,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Dining,DRIVE THRU DELIGHTS,0.95,"Drive-thru delights typically refer to quick-service restaurants or food vendors, which fall under the dining category.",llm,2024,2,2024-02
2024-02-11,GOLDEN TOAST SINGAPORE SG,9.17,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Dining,GOLDEN TOAST,0.9,"Golden Toast is likely a breakfast or brunch spot, fitting under the dining category.",llm,2024,2,2024-02
2024-02-11,RIDEFLOW SINGAPORE SG,22.85,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Transport,RIDEFLOW,1.0,"RIDEFLOW is a rideshare service, which fits under the Transport category.",llm,2024,2,2024-02
2024-02-13,RIDEFLOW SINGAPORE SG,35.18,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Transport,RIDEFLOW,1.0,"RIDEFLOW is a rideshare service, which fits under the Transport category.",llm,2024,2,2024-02
2024-02-13,ARCTIC MARKET SINGAPORE SG,85.85,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Groceries,ARCTIC MARKET,0.95,The name 'ARCTIC MARKET' suggests it is a supermarket or grocery store.,llm,2024,2,2024-02
2024-02-13,GAME REALM SINGAPORE SG,12.8,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Shopping,GAME REALM,1.0,GAME REALM is a retailer known for video games and related merchandise.,llm,2024,2,2024-02
2024-02-15,RIDEFLOW SINGAPORE SG,30.3,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Transport,RIDEFLOW,1.0,"RIDEFLOW is a rideshare service, which fits under the Transport category.",llm,2024,2,2024-02
2024-02-16,HARVEST FOODS SINGAPORE SG,55.86,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Groceries,HARVEST FOODS,0.95,"Harvest Foods is a supermarket chain, fitting the description of a grocery store.",llm,2024,2,2024-02
2024-02-16,FAST FEAST SINGAPORE SG,31.4,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Dining,FAST FEAST,1.0,"FAST FEAST is a restaurant name, fitting under the Dining category.",llm,2024,2,2024-02
2024-02-16,SKYWAY AIR SINGAPORE SG,263.66,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Travel,SKYWAY AIR,1.0,This likely refers to a flight or travel-related expense.,llm,2024,2,2024-02
2024-02-17,CITY METRO CARD SINGAPORE SG,40.63,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Transport,CITY METRO CARD,1.0,Metro cards are typically used for public transportation.,llm,2024,2,2024-02
2024-02-18,HOME STYLE SINGAPORE SG,56.25,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Groceries,HOME STYLE,0.9,The merchant name 'HOME STYLE' suggests it is a grocery store or supermarket.,llm,2024,2,2024-02
2024-02-19,EVENT TIX SINGAPORE SG,20.45,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Entertainment,EVENT TIX,1.0,Event tickets are typically considered entertainment expenses.,llm,2024,2,2024-02
2024-02-21,FAST FEAST SINGAPORE SG,26.85,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Dining,FAST FEAST,1.0,"FAST FEAST is a restaurant name, fitting under the Dining category.",llm,2024,2,2024-02
2024-02-21,CORNER GROCERY SINGAPORE SG,68.07,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Groceries,CORNER GROCERY,1.0,The merchant description 'CORNER GROCERY' clearly indicates a supermarket or grocery store.,llm,2024,2,2024-02
2024-02-22,GAME REALM SINGAPORE SG,26.33,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Shopping,GAME REALM,1.0,GAME REALM is a retailer known for video games and related merchandise.,llm,2024,2,2024-02
2024-02-22,SUNNY CAFE SINGAPORE SG,40.4,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Dining,SUNNY CAFE,1.0,"SUNNY CAFE is a cafe, which fits under the Dining category.",llm,2024,2,2024-02
2024-02-23,SUNNY CAFE SINGAPORE SG,23.49,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Dining,SUNNY CAFE,1.0,"SUNNY CAFE is a cafe, which fits under the Dining category.",llm,2024,2,2024-02
2024-02-25,GADGET WORLD SINGAPORE SG,40.24,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Shopping,GADGET WORLD,1.0,Gadget World is a retailer specializing in electronics and gadgets.,llm,2024,2,2024-02
2024-02-26,HARVEST FOODS SINGAPORE SG,77.03,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Groceries,HARVEST FOODS,0.95,"Harvest Foods is a supermarket chain, fitting the description of a grocery store.",llm,2024,2,2024-02
2024-02-26,URBAN TRANSIT CO. SINGAPORE SG,11.27,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Transport,URBAN TRANSIT CO,1.0,The merchant name 'URBAN TRANSIT CO' suggests it is related to public transportation or rideshare services.,llm,2024,2,2024-02
2024-02-27,TRENDWEAR SINGAPORE SG,76.66,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Shopping,TRENDWEAR,1.0,TRENDWEAR is a clothing retailer.,llm,2024,2,2024-02
2024-02-28,HOME STYLE SINGAPORE SG,155.72,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Groceries,HOME STYLE,0.9,The merchant name 'HOME STYLE' suggests it is a grocery store or supermarket.,llm,2024,2,2024-02
2024-02-29,ARCTIC MARKET SINGAPORE SG,77.3,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Groceries,ARCTIC MARKET,0.95,The name 'ARCTIC MARKET' suggests it is a supermarket or grocery store.,llm,2024,2,2024-02
2024-02-29,SPEEDY DRIVE SHOP SINGAPORE SG,136.16,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Shopping,SPEEDY DRIVE SHOP,0.9,The name suggests a retail store focused on quick or convenience items.,llm,2024,2,2024-02
2024-03-01,BOOK NOOK SINGAPORE SG,48.73,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Shopping,BOOK NOOK,1.0,Book stores fall under retail shopping.,llm,2024,3,2024-03
2024-03-02,SUNNY CAFE SINGAPORE SG,28.68,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Dining,SUNNY CAFE,1.0,"SUNNY CAFE is a cafe, which fits under the Dining category.",llm,2024,3,2024-03
2024-03-03,FRESH FIELDS GROCER SINGAPORE SG,88.85,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Groceries,FRESH FIELDS GROCER,1.0,The merchant name 'FRESH FIELDS GROCER' indicates it is a grocery store.,llm,2024,3,2024-03
2024-03-03,CITY METRO CARD SINGAPORE SG,7.48,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Transport,CITY METRO CARD,1.0,Metro cards are typically used for public transportation.,llm,2024,3,2024-03
2024-03-04,MORNING BITES CAFE SINGAPORE SG,5.01,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Dining,MORNING BITES CAFE,0.95,"The merchant name suggests a cafe that likely serves food or drinks, which fits the dining category.",llm,2024,3,2024-03
2024-03-04,TUNE STREAM SINGAPORE SG,25.11,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Entertainment,TUNE STREAM,1.0,This likely refers to a music or podcast streaming service.,llm,2024,3,2024-03
2024-03-06,NOODLE HOUSE SINGAPORE SG,9.4,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Dining,NOODLE HOUSE,1.0,Noodle house is a type of restaurant serving noodle-based dishes.,llm,2024,3,2024-03
2024-03-09,SUNNY CAFE SINGAPORE SG,7.72,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Dining,SUNNY CAFE,1.0,"SUNNY CAFE is a cafe, which fits under the Dining category.",llm,2024,3,2024-03
2024-03-09,SPEEDY FUEL SINGAPORE SG,16.7,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Transport,SPEEDY FUEL,1.0,"SPEEDY FUEL is a common name for gas stations, which fall under the Transport category.",llm,2024,3,2024-03
2024-03-09,URBAN TRANSIT CO. SINGAPORE SG,3.74,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Transport,URBAN TRANSIT CO,1.0,The merchant name 'URBAN TRANSIT CO' suggests it is related to public transportation or rideshare services.,llm,2024,3,2024-03
2024-03-10,EVENT TIX SINGAPORE SG,29.55,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Entertainment,EVENT TIX,1.0,Event tickets are typically considered entertainment expenses.,llm,2024,3,2024-03
2024-03-11,SHELL STATION SINGAPORE SG,30.13,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Transport,SHELL STATION,0.9,"Shell stations primarily sell fuel, which falls under transport expenses.",llm,2024,3,2024-03
2024-03-11,RENT-A-RIDE SINGAPORE SG,225.47,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Transport,RENT A RIDE,1.0,"This likely refers to a rideshare or car rental service, which fits under transport expenses.",llm,2024,3,2024-03
2024-03-11,ARCTIC MARKET SINGAPORE SG,98.53,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Groceries,ARCTIC MARKET,0.95,The name 'ARCTIC MARKET' suggests it is a supermarket or grocery store.,llm,2024,3,2024-03
2024-03-12,BOOK NOOK SINGAPORE SG,40.52,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Shopping,BOOK NOOK,1.0,Book stores fall under retail shopping.,llm,2024,3,2024-03
2024-03-13,DAILY PANTRY SINGAPORE SG,44.56,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Groceries,DAILY PANTRY,1.0,DAILY PANTRY is a well-known grocery store chain.,llm,2024,3,2024-03
2024-03-15,RIDEFLOW SINGAPORE SG,20.26,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Transport,RIDEFLOW,1.0,"RIDEFLOW is a rideshare service, which fits under the Transport category.",llm,2024,3,2024-03
2024-03-15,FAST FEAST SINGAPORE SG,27.5,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Dining,FAST FEAST,1.0,"FAST FEAST is a restaurant name, fitting under the Dining category.",llm,2024,3,2024-03
2024-03-16,GOLDEN TOAST SINGAPORE SG,9.91,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Dining,GOLDEN TOAST,0.9,"Golden Toast is likely a breakfast or brunch spot, fitting under the dining category.",llm,2024,3,2024-03
2024-03-17,FAST FEAST SINGAPORE SG,38.92,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Dining,FAST FEAST,1.0,"FAST FEAST is a restaurant name, fitting under the Dining category.",llm,2024,3,2024-03
2024-03-17,CINEMA PLUS SINGAPORE SG,20.87,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Entertainment,CINEMA PLUS,1.0,"Cinema Plus is a movie theater, which falls under entertainment spending.",llm,2024,3,2024-03
2024-03-18,SUNNY CAFE SINGAPORE SG,9.06,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Dining,SUNNY CAFE,1.0,"SUNNY CAFE is a cafe, which fits under the Dining category.",llm,2024,3,2024-03
2024-03-18,BRIGHT ENERGY SINGAPORE SG,78.74,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Health,BRIGHT ENERGY,0.8,"BRIGHT ENERGY is likely a health and wellness brand, fitting under the Health category.",llm,2024,3,2024-03
