date,description,amount,polarity,balance,bank,statement_date,statement_month,source_file,category
2024-02-26,HARVEST FOODS SINGAPORE SG,77.03,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Uncategorized
2024-02-26,URBAN TRANSIT CO. SINGAPORE SG,11.27,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Uncategorized
2024-02-27,TRENDWEAR SINGAPORE SG,76.66,,0.0,generic,2024-02-29,2024-02,synthetic_cardco_2024-02.pdf,Uncategorized
2024-02-28,HOME STYLE SINGAPORE SG,155.72,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Uncategorized
2024-02-29,ARCTIC MARKET SINGAPORE SG,77.3,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Uncategorized
2024-02-29,SPEEDY DRIVE SHOP SINGAPORE SG,136.16,,0.0,generic,2024-02-29,2024-02,synthetic_metrobank_2024-02.pdf,Uncategorized
2024-03-01,BOOK NOOK SINGAPORE SG,48.73,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-02,SUNNY CAFE SINGAPORE SG,28.68,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Uncategorized
2024-03-03,FRESH FIELDS GROCER SINGAPORE SG,88.85,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-03,CITY METRO CARD SINGAPORE SG,7.48,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-04,MORNING BITES CAFE SINGAPORE SG,5.01,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-04,TUNE STREAM SINGAPORE SG,25.11,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Uncategorized
2024-03-06,NOODLE HOUSE SINGAPORE SG,9.4,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-09,SUNNY CAFE SINGAPORE SG,7.72,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Uncategorized
2024-03-09,SPEEDY FUEL SINGAPORE SG,16.7,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Uncategorized
2024-03-09,URBAN TRANSIT CO. SINGAPORE SG,3.74,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Uncategorized
2024-03-10,EVENT TIX SINGAPORE SG,29.55,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-11,SHELL STATION SINGAPORE SG,30.13,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-11,RENT-A-RIDE SINGAPORE SG,225.47,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-11,ARCTIC MARKET SINGAPORE SG,98.53,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Uncategorized
2024-03-12,BOOK NOOK SINGAPORE SG,40.52,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-13,DAILY PANTRY SINGAPORE SG,44.56,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-15,RIDEFLOW SINGAPORE SG,20.26,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-15,FAST FEAST SINGAPORE SG,27.5,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Uncategorized
2024-03-16,GOLDEN TOAST SINGAPORE SG,9.91,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-17,FAST FEAST SINGAPORE SG,38.92,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Uncategorized
2024-03-17,CINEMA PLUS SINGAPORE SG,20.87,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Uncategorized
2024-03-18,SUNNY CAFE SINGAPORE SG,9.06,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-18,BRIGHT ENERGY SINGAPORE SG,78.74,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-20,GOLDEN TOAST SINGAPORE SG,6.02,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-20,GLOBAL GRUB SINGAPORE SG,20.05,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-21,DAILY PANTRY SINGAPORE SG,45.03,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-22,NET CONNECT SINGAPORE SG,82.01,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Uncategorized
2024-03-23,WELLNESS PHARMACY SINGAPORE SG,61.04,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-24,SPEEDY DRIVE SHOP SINGAPORE SG,99.87,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Uncategorized
2024-03-26,CORNER GROCERY SINGAPORE SG,56.95,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-27,RIDEFLOW SINGAPORE SG,28.3,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-28,GREEN BASKET MART SINGAPORE SG,26.54,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Uncategorized
2024-03-30,BOOK NOOK SINGAPORE SG,23.79,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-30,CARE CLINIC SINGAPORE SG,21.69,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-30,DAILY PANTRY SINGAPORE SG,92.02,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Uncategorized
2024-03-30,GLOBAL GRUB SINGAPORE SG,19.23,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Uncategorized
2024-03-31,FAST FEAST SINGAPORE SG,18.9,,0.0,generic,2024-03-31,2024-03,synthetic_cardco_2024-03.pdf,Uncategorized
2024-03-31,GLOBAL GRUB SINGAPORE SG,10.32,,0.0,generic,2024-03-31,2024-03,synthetic_metrobank_2024-03.pdf,Uncategorized
2024-04-01,CORNER GROCERY SINGAPORE SG,93.24,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-01,TELCO MOBILE SINGAPORE SG,106.53,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-01,NOODLE HOUSE SINGAPORE SG,17.78,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-02,GREEN BASKET MART SINGAPORE SG,89.05,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-02,BRIGHT ENERGY SINGAPORE SG,119.35,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-03,CITY METRO CARD SINGAPORE SG,33.89,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-03,MEGA MART ONLINE SINGAPORE SG,126.94,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-03,ARCTIC MARKET SINGAPORE SG,70.89,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-03,DRIVE-THRU DELIGHTS SINGAPORE SG,27.46,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-03,URBAN TRANSIT CO. SINGAPORE SG,13.78,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-04,SHELL STATION SINGAPORE SG,38.22,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-05,TRENDWEAR SINGAPORE SG,24.93,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-05,URBAN TRANSIT CO. SINGAPORE SG,19.67,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-05,VITAL DRUGS SINGAPORE SG,32.61,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-06,NOODLE HOUSE SINGAPORE SG,12.94,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-06,GOLDEN TOAST SINGAPORE SG,5.77,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-07,GOLDEN TOAST SINGAPORE SG,25.4,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-08,URBAN EATS SINGAPORE SG,24.87,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-08,GLOBAL GRUB SINGAPORE SG,28.84,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-12,GOLDEN TOAST SINGAPORE SG,8.59,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-13,SHELL STATION SINGAPORE SG,20.48,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-13,URBAN TRANSIT CO. SINGAPORE SG,3.27,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-13,EVENT TIX SINGAPORE SG,28.68,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-14,SPEEDY FUEL SINGAPORE SG,33.43,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-14,GREEN BASKET MART SINGAPORE SG,31.19,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-16,GREEN BASKET MART SINGAPORE SG,35.99,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-16,MORNING BITES CAFE SINGAPORE SG,43.23,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-17,BOOK NOOK SINGAPORE SG,159.68,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-18,BRIGHT ENERGY SINGAPORE SG,82.92,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-18,GOLDEN TOAST SINGAPORE SG,20.54,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-20,CORNER GROCERY SINGAPORE SG,90.64,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-20,FITZONE GYM SINGAPORE SG,62.63,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-21,RENT-A-RIDE SINGAPORE SG,90.62,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-21,CORNER GROCERY SINGAPORE SG,29.17,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-21,CITY METRO CARD SINGAPORE SG,12.42,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-22,VITAL DRUGS SINGAPORE SG,69.36,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-22,ARCTIC MARKET SINGAPORE SG,89.42,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-22,HARVEST FOODS SINGAPORE SG,100.55,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-22,TRENDWEAR SINGAPORE SG,166.02,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-23,GLOBAL GRUB SINGAPORE SG,19.15,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-24,COZY STAY HOTEL SINGAPORE SG,277.4,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-25,SHELL STATION SINGAPORE SG,10.0,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-26,DAILY PANTRY SINGAPORE SG,89.11,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-26,GOLDEN TOAST SINGAPORE SG,32.11,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-29,EVENT TIX SINGAPORE SG,19.62,,0.0,generic,2024-04-30,2024-04,synthetic_cardco_2024-04.pdf,Uncategorized
2024-04-29,MORNING BITES CAFE SINGAPORE SG,19.9,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
2024-04-29,RENT-A-RIDE SINGAPORE SG,221.41,,0.0,generic,2024-04-30,2024-04,synthetic_metrobank_2024-04.pdf,Uncategorized
